id_marca,nombre
43,Range Rover Evoque
44,Maxus
45,Ls400
45,Ls430
45,Gs300
45,Is200
45,Rx300
45,Gs430
45,Gs460
45,Sc430
45,Is300
45,Is250
45,Rx400h
45,Is220d
45,Rx350
45,Gs450h
45,Ls460
45,Ls600h
45,Ls
45,Gs
45,Is
45,Sc
45,Rx
45,Ct
46,Elise
46,Exige
47,Bolero Pickup
47,Goa Pickup
47,Goa
47,Cj
47,Pikup
47,Thar
48,Ghibli
48,Shamal
48,Quattroporte
48,3200 Gt
48,Coupe
48,Spyder
48,Gransport
48,Granturismo
48,430
48,Biturbo
48,228
48,224
48,Grancabrio
49,Maybach
50,Xedos 6
50,626
50,121
50,Xedos 9
50,323
50,Mx3
50,Rx7
50,Mx5
50,Mazda3
50,Mpv
50,Demio
50,Premacy
50,Tribute
50,Mazda6
50,Mazda2
50,Rx8
50,Mazda5
50,Cx7
50,Serie B
50,B2500
50,Bt50
50,Mx6
50,929
50,Cx5
51,Clase C
51,Clase E
51,Clase Sl
51,Clase S
51,Clase Cl
51,Clase G
51,Clase Slk
51,Clase V
51,Viano
51,Clase Clk
51,Clase A
51,Clase M
51,Vaneo
51,Slklasse
51,Slr Mclaren
51,Clase Cls
51,Clase R
51,Clase Gl
51,Clase B
51,100d
51,140d
51,180d
51,Sprinter
51,Vito
51,Transporter
51,280
51,220
51,200
51,190
51,600
51,400
51,Clase Sl R129
51,300
51,500
51,420
51,260
51,230
51,Clase Clc
51,Clase Glk
51,Sls Amg
52,Mgf
52,Tf
52,Zr
52,Zs
52,Zt
52,Ztt
52,Mini
52,Countryman
52,Paceman
53,Mini
53,Countryman
53,Paceman
54,Montero
54,Galant
54,Colt
54,Space Wagon
54,Space Runner
54,Space Gear
54,3000 Gt
54,Carisma
54,Eclipse
54,Space Star
54,Montero Sport
54,Montero Io
54,Outlander
54,Lancer
54,Grandis
54,L200
54,Canter
54,300 Gt
54,Asx
54,Imiev
55,44
55,Plus 8
55,Aero 8
55,V6
55,Roadster
55,4
55,Plus 4
56,Terrano Ii
56,Terrano
56,Micra
56,Sunny
56,Primera
56,Serena
56,Patrol
56,Maxima Qx
56,200 Sx
56,300 Zx
56,Patrol Gr
56,100 Nx
56,Almera
56,Pathfinder
56,Almera Tino
56,Xtrail
56,350z
56,Murano
56,Note
56,Qashqai
56,Tiida
56,Vanette
56,Trade
56,Vanette Cargo
56,Pickup
56,Navara
56,Cabstar E
56,Cabstar
56,Maxima
56,Camion
56,Prairie
56,Bluebird
56,Np300 Pick Up
56,Qashqai2
56,Pixo
56,Gtr
56,370z
56,Cube
56,Juke
56,Leaf
56,Evalia
57,Astra
57,Vectra
57,Calibra
57,Corsa
57,Omega
57,Frontera
57,Tigra
57,Monterey
57,Sintra
57,Zafira
57,Agila
57,Speedster
57,Signum
57,Meriva
57,Antara
57,Gt
57,Combo
57,Movano
57,Vivaro
57,Kadett
57,Monza
57,Senator
57,Rekord
57,Manta
57,Ascona
57,Insignia
57,Zafira Tourer
57,Ampera
57,Mokka
57,Adam
58,306
58,605
58,106
58,205
58,405
58,406
58,806
58,807
58,407
58,307
58,206
58,607
58,308
58,307 Sw
58,206 Sw
58,407 Sw
58,1007
58,107
58,207
58,4007
58,Boxer
58,Partner
58,J5
58,604
58,505
58,309
58,Bipper
58,Partner Origin
58,3008
58,5008
58,Rcz
58,508
58,Ion
58,208
58,4008
59,Trans Sport
59,Firebird
59,Trans Am
60,911
60,Boxster
60,Cayenne
60,Carrera Gt
60,Cayman
60,928
60,968
60,944
60,924
60,Panamera
60,918
61,Megane
61,Safrane
61,Laguna
61,Clio
61,Twingo
61,Nevada
61,Espace
61,Spider
61,Scenic
61,Grand Espace
61,Avantime
61,Vel Satis
61,Grand Scenic
61,Clio Campus
61,Modus
61,Express
61,Trafic
61,Master
61,Kangoo
61,Mascott
61,Master Propulsion
61,Maxity
61,R19
61,R25
61,R5
61,R21
61,R4
61,Alpine
61,Fuego
61,R18
61,R11
61,R9
61,R6
61,Grand Modus
61,Kangoo Combi
61,Koleos
61,Fluence
61,Wind
61,Latitude
61,Grand Kangoo Combi
62,Siver Dawn
62,Silver Spur
62,Park Ward
62,Silver Seraph
62,Corniche
62,Phantom
62,Touring
62,Silvier
63,800
63,600
63,100
63,200
63,Coupe
63,400
63,45
63,Cabriolet
63,25
63,Mini
63,75
63,Streetwise
63,Sd
64,900
64,93
64,9000
64,95
64,93x
64,94x
65,300
65,350
65,Anibal
65,Anibal Pick Up
66,Ibiza
66,Cordoba
66,Toledo
66,Marbella
66,Alhambra
66,Arosa
66,Leon
66,Altea
66,Altea Xl
66,Altea Freetrack
66,Terra
66,Inca
66,Malaga
66,Ronda
66,Exeo
66,Mii
67,Felicia
67,Forman
67,Octavia
67,Octavia Tour
67,Fabia
67,Superb
67,Roomster
67,Scout
67,Pickup
67,Favorit
67,130
67,S
67,Yeti
67,Citigo
67,Rapid
68,Smart
68,Citycoupe
68,Fortwo
68,Cabrio
68,Crossblade
68,Roadster
68,Forfour
69,Korando
69,Family
69,K4d
69,Musso
69,Korando Kj
69,Rexton
69,Rexton Ii
69,Rodius
69,Kyron
69,Actyon
69,Sports Pick Up
69,Actyon Sports Pick Up
69,Kodando
70,Legacy
70,Impreza
70,Svx
70,Justy
70,Outback
70,Forester
70,G3x Justy
70,B9 Tribeca
70,Xt
70,1800
70,Tribeca
70,Wrx Sti
70,Trezia
70,Xv
70,Brz
71,Maruti
71,Swift
71,Vitara
71,Baleno
71,Samurai
71,Alto
71,Wagon R
71,Jimny
71,Grand Vitara
71,Ignis
71,Liana
71,Grand Vitara Xl7
71,Sx4
71,Splash
71,Kizashi
72,Samba
72,Tagora
72,Solara
72,Horizon
73,Telcosport
73,Telco
73,Sumo
73,Safari
73,Indica
73,Indigo
73,Grand Safari
73,Tl Pick Up
73,Xenon Pick Up
73,Vista
73,Xenon
73,Aria
74,Carina E
74,4runner
74,Camry
74,Rav4
74,Celica
74,Supra
74,Paseo
74,Land Cruiser 80
74,Land Cruiser 100
74,Land Cruiser
74,Land Cruiser 90
74,Corolla
74,Auris
74,Avensis
74,Picnic
74,Yaris
74,Yaris Verso
74,Mr2
74,Previa
74,Prius
74,Avensis Verso
74,Corolla Verso
74,Corolla Sedan
74,Aygo
74,Hilux
74,Dyna
74,Land Cruiser 200
74,Verso
74,Iq
74,Urban Cruiser
74,Gt86
75,100
75,121
76,214
76,110 Stawra
76,111 Stawra
76,215
76,112 Stawra
77,Passat
77,Golf
77,Vento
77,Polo
77,Corrado
77,Sharan
77,Lupo
77,Bora
77,Jetta
77,New Beetle
77,Phaeton
77,Touareg
77,Touran
77,Multivan
77,Caddy
77,Golf Plus
77,Fox
77,Eos
77,Caravelle
77,Tiguan
77,Transporter
77,Lt
77,Taro
77,Crafter
77,California
77,Santana
77,Scirocco
77,Passat Cc
77,Amarok
77,Beetle
77,Up
77,Cc
78,440
78,850
78,S70
78,V70
78,V70 Classic
78,940
78,480
78,460
78,960
78,S90
78,V90
78,Classic
78,S40
78,V40
78,V50
78,V70 Xc
78,Xc70
78,C70
78,S80
78,S60
78,Xc90
78,C30
78,780
78,760
78,740
78,240
78,360
78,340
78,Xc60
78,V60
78,V40 Cross Country
79,353
98,CARGO
98,COOL STAR 125
98,X3
98,JOJO 110
98,CC125
98,CC150
98,KP150F
98,LF100
98,PK125
98,POWER KING
98,CROSS
98,GLOW 110S
98,KP150
98,POWER MAN 250
98,HIKER
98,IV
98,STEED 250
98,TRAVELLER
98,TB125
98,PK110F
98,LF125
98,LF125
102,RODEO
102,DURO
132,RACING 200
132,PHOENIX 50
132,INDIANAPOLIS 200
132,F35/F40
132,X2 250
